Netstat output collected at: 2025-11-07T07:41:29.708990
================================================================================

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:62552        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62553        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62554        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:62555        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62556        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62557        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62558        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62559        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62560        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62561        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62562        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62563        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62564        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62566        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62567        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62569        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62570        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62571        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62572        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62573        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62574        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62575        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62578        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62579        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62580        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62581        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62582        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62583        127.0.0.1:62584        ESTABLISHED
  TCP    127.0.0.1:62584        127.0.0.1:62583        ESTABLISHED
  TCP    127.0.0.1:64174        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:64941        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:65042        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:65163        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:65457        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:65506        127.0.0.1:59404        ESTABLISHED
  TCP    192.168.1.144:139      0.0.0.0:0              LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:3389              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49669             [::]:0                 LISTENING
  TCP    [::]:49671             [::]:0                 LISTENING
  TCP    [::1]:42050            [::]:0                 LISTENING
  TCP    [::1]:49670            [::]:0                 LISTENING
  TCP    [fc00:bbbb:bbbb:bb01:d:0:10:2619]:55346  [2607:f8b0:4004:c0b::bc]:5228  ESTABLISHED
  TCP    [fc00:bbbb:bbbb:bb01:d:0:10:2619]:59277  [2a06:98c1:3107::6812:2715]:443  ESTABLISHED
  TCP    [fc00:bbbb:bbbb:bb01:d:0:10:2619]:61213  [2606:4700::6810:7432]:443  ESTABLISHED
  TCP    [fc00:bbbb:bbbb:bb01:d:0:10:2619]:62568  [2620:1ec:bdf::40]:443  ESTABLISHED
  TCP    [fc00:bbbb:bbbb:bb01:d:0:10:2619]:64320  [2a06:98c1:310b::ac40:9bd1]:443  ESTABLISHED
  TCP    [fc00:bbbb:bbbb:bb01:d:0:10:2619]:64323  [2a06:98c1:310b::ac40:9bd1]:443  ESTABLISHED
  UDP    0.0.0.0:3389           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:49322          *:*                    
  UDP    0.0.0.0:49345          *:*                    
  UDP    0.0.0.0:49347          *:*                    
  UDP    0.0.0.0:49573          *:*                    
  UDP    0.0.0.0:49743          *:*                    
  UDP    0.0.0.0:50181          *:*                    
  UDP    0.0.0.0:50751          *:*                    
  UDP    0.0.0.0:50841          *:*                    
  UDP    0.0.0.0:50892          *:*                    
  UDP    0.0.0.0:51469          *:*                    
  UDP    0.0.0.0:53377          *:*                    
  UDP    0.0.0.0:54017          *:*                    
  UDP    0.0.0.0:54515          *:*                    
  UDP    0.0.0.0:54967          *:*                    
  UDP    0.0.0.0:54993          *:*                    
  UDP    0.0.0.0:55296          *:*                    
  UDP    0.0.0.0:55437          *:*                    
  UDP    0.0.0.0:56768          *:*                    
  UDP    0.0.0.0:57374          *:*                    
  UDP    0.0.0.0:57511          *:*                    
  UDP    0.0.0.0:57687          *:*                    
  UDP    0.0.0.0:58378          *:*                    
  UDP    0.0.0.0:58554          *:*                    
  UDP    0.0.0.0:58660          *:*                    
  UDP    0.0.0.0:59010          *:*                    
  UDP    0.0.0.0:59419          142.250.69.74:443      
  UDP    0.0.0.0:59769          *:*                    
  UDP    0.0.0.0:60177          *:*                    
  UDP    0.0.0.0:60665          216.239.34.223:443     
  UDP    0.0.0.0:61212          *:*                    
  UDP    0.0.0.0:61482          162.159.135.233:443    
  UDP    0.0.0.0:61486          142.250.69.142:443     
  UDP    0.0.0.0:61804          *:*                    
  UDP    0.0.0.0:61845          *:*                    
  UDP    0.0.0.0:63040          *:*                    
  UDP    0.0.0.0:63493          *:*                    
  UDP    0.0.0.0:63818          *:*                    
  UDP    0.0.0.0:64452          *:*                    
  UDP    10.144.38.25:137       *:*                    
  UDP    10.144.38.25:138       *:*                    
  UDP    10.144.38.25:1900      *:*                    
  UDP    10.144.38.25:55334     *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:49664        127.0.0.1:49664        
  UDP    127.0.0.1:55336        *:*                    
  UDP    192.168.1.144:137      *:*                    
  UDP    192.168.1.144:138      *:*                    
  UDP    192.168.1.144:1900     *:*                    
  UDP    192.168.1.144:55335    *:*                    
  UDP    [::]:3389              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:49322             *:*                    
  UDP    [::]:49345             *:*                    
  UDP    [::]:49347             *:*                    
  UDP    [::]:49573             *:*                    
  UDP    [::]:49744             *:*                    
  UDP    [::]:50181             *:*                    
  UDP    [::]:50751             *:*                    
  UDP    [::]:50841             *:*                    
  UDP    [::]:50892             *:*                    
  UDP    [::]:51469             *:*                    
  UDP    [::]:53377             *:*                    
  UDP    [::]:54017             *:*                    
  UDP    [::]:54515             *:*                    
  UDP    [::]:54967             *:*                    
  UDP    [::]:54993             *:*                    
  UDP    [::]:55296             *:*                    
  UDP    [::]:55437             *:*                    
  UDP    [::]:56768             *:*                    
  UDP    [::]:57374             *:*                    
  UDP    [::]:57511             *:*                    
  UDP    [::]:57687             *:*                    
  UDP    [::]:58378             *:*                    
  UDP    [::]:58554             *:*                    
  UDP    [::]:58660             *:*                    
  UDP    [::]:59010             *:*                    
  UDP    [::]:59769             *:*                    
  UDP    [::]:60177             *:*                    
  UDP    [::]:61212             *:*                    
  UDP    [::]:61804             *:*                    
  UDP    [::]:61845             *:*                    
  UDP    [::]:63040             *:*                    
  UDP    [::]:63493             *:*                    
  UDP    [::]:63818             *:*                    
  UDP    [::]:64452             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:55333            *:*                    
  UDP    [fe80::fa7:e1ba:d04a:e8a3%24]:1900  *:*                    
  UDP    [fe80::fa7:e1ba:d04a:e8a3%24]:55331  *:*                    
  UDP    [fe80::50b2:6d9e:ebd0:a281%12]:1900  *:*                    
  UDP    [fe80::50b2:6d9e:ebd0:a281%12]:55332  *:*                    
